paralog_gene,mean_dz,max_dz,n_pairs
ELL2,0.8369344766475483,2.4462364315986633,6
DOP1B,0.8358747864452502,1.9561383333057163,3
PGLYRP4,0.8348704185821892,3.061733255162835,3
FAM78B,0.8337412724892298,1.2584540769457817,3
BMAL1,0.8327287676834708,4.837405629456043,9
SCART1,0.831626475478212,1.612752303481102,6
SLC22A5,0.8280325829982758,1.6414624080061913,3
FAM24A,0.8266196890423695,2.7441591396927834,3
RBM27,0.826289315821555,2.1831279322504997,4
ACSL3,0.8247036970245524,4.443411238491535,14
IMMP2L,0.821117944693488,1.6551900133490562,4
EYA2,0.8205882714440426,2.9309399500489235,3
CDC42EP3,0.8203798079242309,1.4983171802014112,6
NLGN4Y,0.8200797982203464,4.236805099993944,15
SCNN1A,0.8191737530546056,5.835056878626347,9
TERF1,0.8189135510760582,2.313335238857656,3
ATP6V0A1,0.8183328040011902,2.230103462934494,7
ESRP1,0.8161285476138195,9.331301588565111,12
APOL6,0.8140332856112056,3.7987603321671486,9
MT1HL1,0.8128044519883891,20.099963933229446,24
BPNT2,0.8096784946198263,2.125005164183676,3
ATXN2,0.8096746507158098,2.4445603862404823,4
FCF1,0.806971322347893,2.846192792057991,6
LIN28B,0.8069509532279466,2.9298857748508453,17
HDHD3,0.8047065370072768,2.1599742714315653,4
PLS3,0.8041751471658548,1.7115560472011566,6
SLC29A2,0.8021915374468289,1.8700683247298,7
PLEKHO1,0.8015104290097952,1.3311990797519684,3
SNAP25,0.79864901304245,1.421566754579544,3
PRDM8,0.7974160239100456,1.1190386712551117,3
HIP1R,0.7964012759427229,2.130461923778057,3
CRIP2,0.7953883494649615,7.325590491294861,7
BHLHA9,0.7943367705576949,8.483055133372545,9
SH3RF3,0.7930187154561281,0.7930187154561281,1
RFX3,0.7929370851876835,4.956953770946711,12
HIP1,0.7928257332779427,1.3584678322076795,4
RILPL1,0.7912325034170069,1.585698828101158,8
TIAM2,0.7889836343626181,1.448426365852356,3
GPAT3,0.7875952968994776,1.3465953469276428,3
ZBTB42,0.7854628339409828,1.5542887225747108,3
ENTPD4,0.7852338045033097,5.275036849081516,14
FUBP1,0.7851213371433365,4.188900224864483,16
RAPGEF5,0.7841842298706373,1.721109189093113,3
PLEKHM1,0.7839532643556595,1.2410080432891846,3
YTHDF3,0.7827865209456948,2.784281922504306,8
SP3,0.7820435845682073,2.9591412097215652,15
PSMC3,0.7819407604302926,4.107555758481452,19
ST6GALNAC3,0.7809872552752495,3.1420729905366898,6
TNRC6C,0.7800215744043791,2.5328185008838773,8
CPO,0.7798478959593922,2.039202469168231,3
SLC25A38,0.7793942679357866,1.4775414653122425,4
CXCR2,0.7789491527946666,3.0475767500465736,3
HIGD2A,0.7776562639006093,1.4040417075157166,4
RPL24,0.7767421298423179,1.0416480091340634,3
STAMBPL1,0.7765024633457264,1.5507316756993532,3
ACTN3,0.7763612823826926,3.0928959995508194,7
MEGF11,0.773971057186524,2.798205830156803,3
SHC1,0.7736900591601928,1.3642101436853409,3
AGFG1,0.7733748693717768,1.557443235069513,4
SLC15A3,0.773284949362278,1.434137113392353,3
SLC5A3,0.7726505429018289,1.5035440921783447,6
IRX6,0.7724974691246946,12.217456138692796,15
