rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
66,Regulation Of Leukocyte Chemotaxis (GO:0002688),0.0392228776844792,27.088315217391305,87.72537577432398,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
67,Positive Regulation Of Dendrite Morphogenesis (GO:0050775),0.0392228776844792,27.088315217391305,87.72537577432398,IL1RAPL1,0.18563714021535996,0,0,GO_Biological_Process_2023
68,Leukocyte Tethering Or Rolling (GO:0050901),0.0392228776844792,27.088315217391305,87.72537577432398,SELE,0.18563714021535996,0,0,GO_Biological_Process_2023
69,Pulmonary Valve Morphogenesis (GO:0003184),0.041482618460807204,25.493606138107417,81.1329113370927,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
70,Ureteric Bud Development (GO:0001657),0.041482618460807204,25.493606138107417,81.1329113370927,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
71,Negative Regulation Of Signal Transduction By P53 Class Mediator (GO:1901797),0.041482618460807204,25.493606138107417,81.1329113370927,MDM2,0.18563714021535996,0,0,GO_Biological_Process_2023
72,Regulation Of RIG-I Signaling Pathway (GO:0039535),0.041482618460807204,25.493606138107417,81.1329113370927,PUM2,0.18563714021535996,0,0,GO_Biological_Process_2023
73,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287),0.04373715736448407,24.07608695652174,75.34749261223973,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
74,Regulation Of Smooth Muscle Cell Migration (GO:0014910),0.04373715736448407,24.07608695652174,75.34749261223973,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
75,Negative Regulation Of RNA Splicing (GO:0033119),0.04373715736448407,24.07608695652174,75.34749261223973,PTBP2,0.18563714021535996,0,0,GO_Biological_Process_2023
76,Leukocyte Adhesion To Vascular Endothelial Cell (GO:0061756),0.04373715736448407,24.07608695652174,75.34749261223973,SELE,0.18563714021535996,0,0,GO_Biological_Process_2023
